hidden_layers,loss_types,learning_rates,epochs,batch_sizes,train,test
9-6-4-3,huber,0.003,100,4,1.84830977420774,2.53050909106497
10-5-3-2,huber,0.003,100,4,1.75625025020815,2.79246851387303
4-4,pseudo-huber,0.003,100,4,1.66470157916533,2.00709072286576
5-2,pseudo-huber,0.003,100,4,1.89982076746727,2.26392306994648
6-3-2,pseudo-huber,0.003,100,4,1.85149850563652,2.38313340054691
8-4-2,pseudo-huber,0.003,100,4,1.74219593651361,2.51460996171787
7-4-3-2,pseudo-huber,0.003,100,4,1.9487845212329,2.61395546477999
9-6-4-3,pseudo-huber,0.003,100,4,1.77641314658026,2.32055133148971
10-5-3-2,pseudo-huber,0.003,100,4,1.88082177466296,2.52889365236587
4-4,absolute,0.01,100,4,1.70992513306576,2.184314962668
5-2,absolute,0.01,100,4,1.98301880049021,2.65538548672305
6-3-2,absolute,0.01,100,4,2.00002326459276,2.6740863307659
8-4-2,absolute,0.01,100,4,1.68706274791398,2.3799349405446
7-4-3-2,absolute,0.01,100,4,1.73749445820192,2.53725624884529
9-6-4-3,absolute,0.01,100,4,1.4693411544975,1.8301859076588
10-5-3-2,absolute,0.01,100,4,1.42296349448993,2.42217208455574
